Inchi solute,smiles solute,logS_aq_avg,logS_aq_std,logS_aq_all_data,count,general data source,more specific data source
"InChI=1/C9H9Cl2NO2/c1-12-9(13)14-5-6-2-3-7(10)8(11)4-6/h2-4H,5H2,1H3,(H,12,13)/f/h12H",CNC(=O)OCC1=CC(Cl)=C(Cl)C=C1,-3.14,0,[-3.14],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A111695, A5643, A108291, A111278, nan"
"InChI=1/C12H10O4S/c13-9-5-1-3-7-11(9)17(15,16)12-8-4-2-6-10(12)14/h1-8,13-14H",OC1=C(C=CC=C1)S(=O)(=O)C1=C(O)C=CC=C1,-3.32,0,[-3.32],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, A111278, nan"
"InChI=1/C7H4F3NO3/c8-7(9,10)5-3-4(12)1-2-6(5)11(13)14/h1-3,12H",OC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,-1.62,0,[-1.62],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A111695, A5643, A108291, A111278, nan"
"InChI=1/C10H9NO3/c1-6(12)11-8-3-2-7-5-14-10(13)9(7)4-8/h2-4H,5H2,1H3,(H,11,12)/f/h11H",CC(=O)NC1=CC2=C(COC2=O)C=C1,-2.6,0,[-2.6],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, A111278, nan"
"InChI=1/C9H8N2O2/c1-5-2-3-6-7(4-5)11-9(13)8(12)10-6/h2-4H,1H3,(H,10,12)(H,11,13)/f/h10-11H",CC1=CC2=C(NC(=O)C(=O)N2)C=C1,-3.04,0,[-3.04],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, A111278, nan"
"InChI=1/C10H20N2O2/c1-3-5-9(13)11-7-8-12-10(14)6-4-2/h3-8H2,1-2H3,(H,11,13)(H,12,14)/f/h11-12H",CCCC(=O)NCCNC(=O)CCC,-0.62,0,[-0.62],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, A111278, nan"
"InChI=1/C9H9ClO3/c1-2-13-9(12)6-3-4-8(11)7(10)5-6/h3-5,11H,2H2,1H3",CCOC(=O)C1=CC(Cl)=C(O)C=C1,-3.22,0,[-3.22],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, A111278, nan"
InChI=1/C12H5Cl5/c13-7-2-1-3-8(14)10(7)6-4-5-9(15)12(17)11(6)16/h1-5H,ClC1=CC=CC(Cl)=C1C1=C(Cl)C(Cl)=C(Cl)C=C1,-6.78,0,[-6.78],1,"Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","A111695, A5643, A108291, A111278, A112076, nan"
"InChI=1/C10H11N3O2/c1-14-7-5-6-9(13-4-3-12-6)8(11)10(7)15-2/h3-5H,11H2,1-2H3",COC1=CC2=C(N=CC=N2)C(N)=C1OC,-1.71,0,[-1.71],1,"Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, nan"
"InChI=1/C12H12N2O5/c1-2-19-12(16)11(13-8-15)7-9-4-3-5-10(6-9)14(17)18/h3-8H,2H2,1H3,(H,13,15)/b11-7-/f/h13H",CCOC(=O)C(\NC=O)=C\C1=CC=CC(=C1)N(=O)=O,-2.47,0,[-2.47],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C6H10N2O4/c9-1-3-5(11)8-4(2-10)6(12)7-3/h3-4,9-10H,1-2H2,(H,7,12)(H,8,11)/f/h7-8H",OCC1NC(=O)C(CO)NC1=O,-0.5,0,[-0.5],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C7H10N2/c1-9(2)7-3-5-8-6-4-7/h3-6H,1-2H3",CN(C)C1=CC=NC=C1,-0.21,0,[-0.21],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C7H10N4O/c1-10-4-9-6-5(10)3-8-7(12)11(6)2/h4H,3H2,1-2H3,(H,8,12)/f/h8H",CN1C=NC2=C1CNC(=O)N2C,-1.34,0,[-1.34],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C11H12O2/c1-2-10(11(12)13)8-9-6-4-3-5-7-9/h2-7H,8H2,1H3,(H,12,13)/b10-2-/f/h12H",C\C=C(\CC1=CC=CC=C1)C(O)=O,-2.56,0,[-2.56],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C10H8O6S2/c11-17(12,13)8-4-5-9-7(6-8)2-1-3-10(9)18(14,15)16/h1-6H,(H,11,12,13)(H,14,15,16)/f/h11,14H",OS(=O)(=O)C1=CC2=CC=CC(=C2C=C1)S(O)(=O)=O,0.54,0,[0.54],1,"Ochem, aqsol","A108291, nan"
"InChI=1/C15H24N2O/c1-2-3-4-5-6-7-8-12-17-15(18)14-10-9-11-16-13-14/h9-11,13H,2-8,12H2,1H3,(H,17,18)/f/h17H",CCCCCCCCCNC(=O)C1=CN=CC=C1,-3.14,0,[-3.14],1,"Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, nan"
"InChI=1/C11H12N2O2/c14-10-7-6-9(13-10)11(15)12-8-4-2-1-3-5-8/h1-5,9H,6-7H2,(H,12,15)(H,13,14)/f/h12-13H",O=C(NC1=CC=CC=C1)C1CCC(=O)N1,-1.33,0,[-1.33],1,"Ochem, aqsol","A108291, nan"
"InChI=1/C6H8N4O3S/c1-2-7-5(11)9-6-8-3-4(14-6)10(12)13/h3H,2H2,1H3,(H2,7,8,9,11)/f/h7,9H",CCNC(=O)NC1=NC=C(S1)N(=O)=O,-2.86,0,[-2.86],1,"Ochem, aqsol","A5643, nan"
"InChI=1/C12H20O10/c13-1-5-7(15)9(17)11(21-5)3-20-12(4-19-11)10(18)8(16)6(2-14)22-12/h5-10,13-18H,1-4H2",OCC1OC2(COC3(CO2)OC(CO)C(O)C3O)C(O)C1O,-0.01,0,[-0.01],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C5H8O6/c1-11-5(10)3(7)2(6)4(8)9/h2-3,6-7H,1H3,(H,8,9)/f/h8H",COC(=O)C(O)C(O)C(O)=O,0.18,0,[0.18],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C7H6O5S/c8-7(9)5-3-1-2-4-6(5)13(10,11)12/h1-4H,(H,8,9)(H,10,11,12)/f/h8,10H",OC(=O)C1=C(C=CC=C1)S(O)(=O)=O,0.39,0,[0.39],1,"Ochem, Ochem","A5643, A111278"
"InChI=1/C10H12N4O4/c15-2-6-7(16)8(17)10(18-6)14-4-13-5-1-11-3-12-9(5)14/h1,3-4,6-8,10,15-17H,2H2",OCC1OC(C(O)C1O)N1C=NC2=CN=CN=C12,-0.4,0,[-0.4],1,"Ochem, Ochem","A5643, A111278"
"InChI=1/C10H14N2/c1-2-7-12-10(5-1)9-4-3-6-11-8-9/h3-4,6,8,10,12H,1-2,5,7H2",C1CCC(NC1)C1=CN=CC=C1,0.79,0,[0.79],1,"Ochem, Ochem","A5643, A111278"
"InChI=1/C10H18O4/c1-4-5-6-7-13-10(12)8(2)14-9(3)11/h8H,4-7H2,1-3H3",CCCCCOC(=O)C(C)OC(C)=O,-0.82,0,[-0.82],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/CH3NO/c1-2-3/h3H,1H2",ON=C,0.58,0,[0.58],1,"Ochem, aqsol","A108291, nan"
InChI=1/C12H8Cl2/c13-11-6-4-9(5-7-11)10-2-1-3-12(14)8-10/h1-8H,ClC1=CC=C(C=C1)C1=CC(Cl)=CC=C1,-6.4,0,[-6.4],1,"Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","A111695, A5643, A108291, A111278, A112073, nan"
InChI=1/C12H7Cl3O/c13-8-5-6-12(10(15)7-8)16-11-4-2-1-3-9(11)14/h1-7H,ClC1=CC(Cl)=C(OC2=CC=CC=C2Cl)C=C1,-4.95,0,[-4.95],1,"Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","A111695, A5643, A108291, A111278, A112073, nan"
"InChI=1/C7H14O2/c1-7(4-6-9)3-2-5-8/h5,7,9H,2-4,6H2,1H3",CC(CCO)CCC=O,-1.07,0,[-1.07],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C11H20O4/c1-3-10(12)14-8-6-5-7-9-15-11(13)4-2/h3-9H2,1-2H3",CCC(=O)OCCCCCOC(=O)CC,-2.23,0,[-2.23],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C6H8O4S/c7-5(8)3-1-2-4(11-3)6(9)10/h3-4H,1-2H2,(H,7,8)(H,9,10)/f/h7,9H",OC(=O)C1CCC(S1)C(O)=O,-0.33,0,[-0.33],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C10H9N5O/c1-7-2-3-13-10(14-7)15-9(16)8-6-11-4-5-12-8/h2-6H,1H3,(H,13,14,15,16)/f/h15H",CC1=CC=NC(NC(=O)C2=CN=CC=N2)=N1,-0.73,0,[-0.73],1,"Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, nan"
"InChI=1/C3H5Cl3/c1-2-3(4,5)6/h2H2,1H3",CCC(Cl)(Cl)Cl,-1.89,0,[-1.89],1,"Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","A111695, A5643, A108291, A111278, A112073, nan"
"InChI=1/C8H8N4S/c9-7(10)12-8-11-5-3-1-2-4-6(5)13-8/h1-4H,(H4,9,10,11,12)/f/h9,12H,10H2",NC(=N)NC1=NC2=C(S1)C=CC=C2,-2.44,0,[-2.44],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C8H10N4OS/c1-10-4-9-6-5(10)7(14)12(3)8(13)11(6)2/h4H,1-3H3",CN1C=NC2=C1C(=S)N(C)C(=O)N2C,-3.32,0,[-3.32],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C3H5Cl3/c1-2(4)3(5)6/h2-3H,1H3",CC(Cl)C(Cl)Cl,-1.89,0,[-1.89],1,"Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","A111695, A5643, A108291, A111278, A112073, nan"
"InChI=1/C8H14O3/c1-6-4-2-3-5-8(6,11)7(9)10/h6,11H,2-5H2,1H3,(H,9,10)/f/h9H",CC1CCCCC1(O)C(O)=O,-0.9,0,[-0.9],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C9H7N3O2/c13-11-7-3-4-8(12-14)9-6(7)2-1-5-10-9/h1-5,13-14H/b11-7-,12-8-",O\N=C1\C=C/C(=N/O)/C2=C1C=CC=N2,-3.8,0,[-3.8],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C10H11BrO2/c1-6(2)7-5-10(13)9(12)4-3-8(7)11/h3-6H,1-2H3,(H,12,13)/f/h13H",CC(C)C1=C(Br)C=CC(=O)C(O)=C1,-3.67,0,[-3.67],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C9H7NO/c11-8-4-3-7-2-1-5-10-9(7)6-8/h1-6,11H",OC1=CC2=C(C=CC=N2)C=C1,-2.5,0,[-2.5],1,"Ochem, Ochem","A108291, A111278"
InChI=1/C3H6/c1-2-3-1/h1-3H2,C1CC1,-2.04,0,[-2.04],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C12H12ClNO3/c1-2-17-12(16)11(14-8-15)7-9-4-3-5-10(13)6-9/h3-8H,2H2,1H3,(H,14,15)/b11-7-/f/h14H",CCOC(=O)C(\NC=O)=C\C1=CC=CC(Cl)=C1,-3.11,0,[-3.11],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C13H13N3O3S/c1-10(17)15-11-5-7-12(8-6-11)20(18,19)16-13-4-2-3-9-14-13/h2-9H,1H3,(H,14,16)(H,15,17)/f/h15-16H",CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1,-3.72,0,[-3.72],1,"Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, nan"
"InChI=1/C10H16O4/c1-9(2)5-10(3,8(13)14)4-6(9)7(11)12/h6H,4-5H2,1-3H3,(H,11,12)(H,13,14)/f/h11,13H",CC1(C)CC(C)(CC1C(O)=O)C(O)=O,-1.64,0,[-1.64],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C4H6N4O11/c9-5(10)4(1-17-6(11)12,2-18-7(13)14)3-19-8(15)16/h1-3H2",O=N(=O)OCC(CON(=O)=O)(CON(=O)=O)N(=O)=O,-2.54,0,[-2.54],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C10H8N2O3/c1-6-2-3-7-8(12(14)15)4-5-9(13)10(7)11-6/h2-5,13H,1H3",CC1=NC2=C(O)C=CC(=C2C=C1)[N+]([O-])=O,-3.96,0,[-3.96],1,"Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, nan"
"InChI=1/C11H20N2O2/c1-4-11(2,3)8-5-6-9(12-14)10(7-8)13-15/h8,14-15H,4-7H2,1-3H3/b12-9+,13-10+",CCC(C)(C)C1CC\C(=N/O)\C(\C1)=N\O,-3.96,0,[-3.96],1,"Ochem, Ochem","A5370, A5643"
"InChI=1/C16H30N4O4/c1-3-23-15(21)19-11-7-17(8-12-19)5-6-18-9-13-20(14-10-18)16(22)24-4-2/h3-14H2,1-2H3",CCOC(=O)N1CCN(CCN2CCN(CC2)C(=O)OCC)CC1,-1.26,0,[-1.26],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C6H8O4/c1-4(3-5(7)8)6(9)10-2/h3H,1-2H3,(H,7,8)/b4-3+/f/h7H",COC(=O)C(\C)=C\C(O)=O,-0.75,0,[-0.75],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C9H10O2/c1-2-11-9-6-4-3-5-8(9)7-10/h3-7H,2H2,1H3",CCOC1=C(C=O)C=CC=C1,-2.11,0,[-2.11],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C9H7NO/c11-9-8-4-2-1-3-7(8)5-6-10-9/h1-6H,(H,10,11)/f/h10H",O=C1NC=CC2=CC=CC=C12,-2.48,0,[-2.48],1,"Ochem, aqsol","A108291, nan"
"InChI=1/C9H6O5/c10-8(9(11)12)5-1-2-6-7(3-5)14-4-13-6/h1-3H,4H2,(H,11,12)/f/h11H",OC(=O)C(=O)C1=CC=C2OCOC2=C1,-1.19,0,[-1.19],1,"Ochem, aqsol","A108291, nan"
"InChI=1/C13H17NO4/c1-13(2,3)12(16)18-8-17-10-7-5-4-6-9(10)11(14)15/h4-7H,8H2,1-3H3,(H2,14,15)/f/h14H2",CC(C)(C)C(=O)OCOC1=CC=CC=C1C(N)=O,-2.61,0,[-2.61],1,"Ochem, Ochem, Ochem","A5643, A108291, A111278"
"InChI=1/C11H11NO4S3/c1-8-2-4-9(5-3-8)18(13,14)10-6-11(17-7-10)19(12,15)16/h2-7H,1H3,(H2,12,15,16)/f/h12H2",CC1=CC=C(C=C1)S(=O)(=O)C1=CSC(=C1)S(N)(=O)=O,-4.02,0,[-4.02],1,"Ochem, Ochem, Ochem","A111695, A5643, A108291"
InChI=1/C14H8N2S4/c1-3-7-11-9(5-1)15-13(17-11)19-20-14-16-10-6-2-4-8-12(10)18-14/h1-8H,S(SC1=NC2=C(S1)C=CC=C2)C1=NC2=C(S1)C=CC=C2,-4.52,0,[-4.52],1,"Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, nan"
"InChI=1/C13H9ClN2O4/c14-8-4-6-9(7-5-8)15-13(18)10-2-1-3-11(12(10)17)16(19)20/h1-7,17H,(H,15,18)/f/h15H",OC1=C(C=CC=C1C(=O)NC1=CC=C(Cl)C=C1)N(=O)=O,-4.55,0,[-4.55],1,"Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, nan"
"InChI=1/C23H32N2OS/c1-15(2)19-13-18(26-17-11-9-8-10-12-17)14-20(16(3)4)21(19)24-22(27)25-23(5,6)7/h8-16H,1-7H3,(H2,24,25,27)/f/h24-25H",CC(C)C1=CC(OC2=CC=CC=C2)=CC(C(C)C)=C1NC(=S)NC(C)(C)C,-6.81,0,[-6.81],1,"Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, nan"
"InChI=1/C20H21N3O/c1-13-12-16(6-11-19(13)23)20(24,14-2-7-17(21)8-3-14)15-4-9-18(22)10-5-15/h2-12,24H,21-23H2,1H3",CC1=C(N)C=CC(=C1)C(O)(C1=CC=C(N)C=C1)C1=CC=C(N)C=C1,-3.03,0,[-3.03],1,"Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, nan"
"InChI=1/C15H18/c1-10(2)13-7-5-11(3)14-8-6-12(4)15(14)9-13/h5-10H,1-4H3",CC(C)C1=CC2=C(C)C=CC2=C(C)C=C1,-5.48,0,[-5.48],1,"Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, nan"
